mean,sdev,low95,up95,brdg,nonbrdg
0.11897925,0.070773545,0.005859112,0.258022161,11,20
0.100793214,0.066590259,0.004065239,0.234364812,13,20
0.160470965,0.066364189,0.035211753,0.292146631,18,20
0.139385623,0.060868217,0.027029701,0.258397147,22,20
0.124360042,0.071338293,0.007040527,0.263635436,24,20
0.062974543,0.059696122,0.001626404,0.221739361,28,20
0.117942154,0.070974572,0.005933299,0.256565697,11,24
0.148698897,0.063391047,0.030689697,0.273009246,13,24
0.111294785,0.070913592,0.004656615,0.252185848,18,24
0.08947289,0.062232889,0.003488539,0.219903221,22,24
0.124871044,0.07196608,0.006993457,0.265445907,24,24
0.062631417,0.060102159,0.001587236,0.224926898,28,24
0.122466022,0.071340178,0.006683531,0.262511973,11,31
0.105737269,0.067132429,0.005075575,0.239428478,13,31
0.121122395,0.071524939,0.006333461,0.262934967,18,31
0.09184208,0.062997875,0.003658485,0.221460021,22,31
0.124959888,0.072016917,0.00709675,0.266819194,24,31
0.562942331,0.123826793,0.322084328,0.796812401,28,31
0.118447945,0.0710552,0.005820737,0.258458805,11,33
0.098897952,0.066358031,0.00392519,0.235319429,13,33
0.109828674,0.070610449,0.005045955,0.251991633,18,33
0.16938141,0.057175631,0.05742936,0.286746388,22,33
0.125688373,0.071324774,0.007586135,0.264770385,24,33
0.061823272,0.059612735,0.001562689,0.221348774,28,33
0.119070415,0.071092222,0.006095592,0.259068019,11,122
0.148519599,0.063262518,0.031375579,0.274142026,13,122
0.112445733,0.070474459,0.005205488,0.25156857,18,122
0.139708307,0.060814975,0.028120851,0.257752794,22,122
0.124757907,0.071498456,0.007239027,0.264345225,24,122
0.062940428,0.060121038,0.00157357,0.223771997,28,122
0.119270536,0.070918072,0.006206916,0.25846932,11,134
0.149861669,0.062870642,0.031964295,0.273351444,13,134
0.163069011,0.066174156,0.037174739,0.297159002,18,134
0.140198471,0.060819748,0.029085064,0.257920195,22,134
0.125026983,0.071751895,0.006772806,0.266831638,24,134
0.062923372,0.059603787,0.001715716,0.222169112,28,134
0.117840398,0.071174601,0.005728675,0.258077676,11,143
0.098099172,0.06587803,0.003837622,0.23275641,13,143
0.108439146,0.070259925,0.004450521,0.250645358,18,143
0.089902563,0.062553173,0.003174772,0.220852225,22,143
0.125241611,0.071534407,0.007666703,0.264663427,24,143
0.060635385,0.058386269,0.001535909,0.217433369,28,143
0.165983279,0.0649388,0.04050554,0.296193706,11,144
0.149392228,0.063236599,0.031701989,0.27448732,13,144
0.113329291,0.07086433,0.004957002,0.254145924,18,144
0.140108657,0.060623679,0.026766425,0.25747011,22,144
0.125094154,0.07172722,0.007069255,0.264633629,24,144
0.063129253,0.060148267,0.001685019,0.223066468,28,144
