mean,sdev,low95,up95,brdg,nonbrdg
0.031322852,0.033577567,0.000641705,0.12853856,6,152
0.0975764,0.057463904,0.005063354,0.207988308,7,152
0.094300258,0.057212941,0.004383566,0.206552541,8,152
0.090588255,0.057885321,0.003882559,0.205328398,11,152
0.133276037,0.049610232,0.037279956,0.23059479,13,152
0.017165996,0.017291094,0.000430564,0.063496665,14,152
0.097755978,0.057355419,0.00496354,0.207943504,24,152
0.072069042,0.054497345,0.002377341,0.191168218,28,152
0.064762559,0.049361518,0.002219649,0.17354292,6,162
0.100362397,0.057404419,0.005956524,0.210690576,7,162
0.133323088,0.051446645,0.032139295,0.233793797,8,162
0.092355795,0.058299453,0.004197639,0.208132859,11,162
0.09710519,0.056868819,0.004967613,0.205356498,13,162
0.619610567,0.070483556,0.477283414,0.7520147,14,162
0.10083237,0.057779673,0.005285774,0.211621208,24,162
0.180506465,0.047771239,0.095136831,0.286806647,28,162
0.130780069,0.047642539,0.038687342,0.222317363,6,24
0.100240754,0.057420144,0.005641832,0.211382392,7,24
0.096226174,0.057220722,0.004995073,0.205767607,8,24
0.093191602,0.058132307,0.004444851,0.208043965,11,24
0.097359601,0.057165254,0.005207789,0.207539726,13,24
0.043253886,0.029710237,0.005356206,0.117507701,14,24
0.099877241,0.057066759,0.005372102,0.208624851,24,24
0.088842176,0.059109143,0.003582582,0.210117498,28,24
0.107659197,0.050547668,0.018525215,0.205463638,6,31
0.100903685,0.057659431,0.006116454,0.212721168,7,31
0.096601169,0.056775179,0.005290737,0.207052553,8,31
0.092803228,0.058290464,0.004309651,0.20950301,11,31
0.098581383,0.057615034,0.005396937,0.209461853,13,31
0.193538575,0.057461166,0.09423798,0.31713116,14,31
0.100603145,0.057434822,0.005635732,0.209992369,24,31
0.132528478,0.05554139,0.028541623,0.242867634,28,31
0.101079568,0.050583478,0.015437006,0.19942592,6,135
0.10036197,0.057663341,0.005750867,0.210993447,7,135
0.096781078,0.057110099,0.005023958,0.208157789,8,135
0.167606745,0.047441589,0.078961539,0.27056148,11,135
0.095300212,0.057211832,0.004766052,0.205574754,13,135
0.021167104,0.02063915,0.000565787,0.076312396,14,135
0.099976934,0.057494366,0.005675569,0.210389905,24,135
0.087660318,0.058293673,0.003644114,0.207161339,28,135
0.100668245,0.050752761,0.015240917,0.19947251,6,136
0.10008874,0.057522958,0.005397812,0.210610357,7,136
0.095935895,0.057246237,0.004698796,0.206875525,8,136
0.092657377,0.058474766,0.004272115,0.209603096,11,136
0.095792695,0.057465239,0.004742226,0.207323895,13,136
0.020977687,0.020335733,0.000546161,0.074773751,14,136
0.100402869,0.057492966,0.005419402,0.20926636,24,136
0.087142886,0.058224073,0.003748723,0.207834846,28,136
0.129848738,0.047682513,0.037750676,0.220941686,6,142
0.099717467,0.057319957,0.005479726,0.209469733,7,142
0.096265932,0.056867405,0.005224415,0.206800051,8,142
0.092404634,0.058017171,0.004411526,0.208063732,11,142
0.096373585,0.057397245,0.004805948,0.206412182,13,142
0.021309339,0.020921846,0.00050794,0.077399721,14,142
0.100022972,0.057497707,0.00557585,0.210821182,24,142
0.088623993,0.058331743,0.003912472,0.207611021,28,142
0.148358999,0.044664723,0.059757344,0.237602754,6,151
0.100595881,0.057497147,0.005701221,0.209445391,7,151
0.097054624,0.057025871,0.005166238,0.207630158,8,151
0.093213633,0.058247834,0.00433639,0.208814117,11,151
0.097599116,0.057280288,0.005345675,0.206956613,13,151
0.021504591,0.021154892,0.000554138,0.079152627,14,151
0.100346215,0.057684023,0.005509963,0.211280064,24,151
0.088859486,0.058553322,0.003678415,0.208060159,28,151
0.056324646,0.047801299,0.001354161,0.16702189,6,156
0.100148758,0.057612874,0.005588521,0.210308362,7,156
0.096570817,0.057345186,0.004786647,0.206932899,8,156
0.092607315,0.058237801,0.004207561,0.208832884,11,156
0.09179291,0.056892871,0.004370189,0.203528958,13,156
0.020566521,0.020369685,0.000503443,0.075604183,14,156
0.100228207,0.057261887,0.005661361,0.21003343,24,156
0.085374498,0.057908853,0.003295937,0.205037637,28,156
0.129195128,0.047745612,0.037531972,0.220766159,6,157
0.100003948,0.057349793,0.005528801,0.209707826,7,157
0.096940967,0.057075338,0.00522007,0.207541685,8,157
0.092571417,0.058434686,0.004120346,0.208284554,11,157
0.096819272,0.05695488,0.004888704,0.206890988,13,157
0.020905734,0.02048192,0.000547695,0.076079352,14,157
0.099954069,0.057425137,0.005882667,0.210710712,24,157
0.088392659,0.058593594,0.003514543,0.207976212,28,157
