mean,sdev,low95,up95,brdg,nonbrdg
0.187279734,0.12609178,0.007288443,0.453665573,13,157
0.32262619,0.132875254,0.081507389,0.617374716,14,157
0.243090823,0.14128617,0.014017507,0.539466429,20,157
0.247319701,0.139545485,0.015222073,0.541217675,22,157
0.045203928,0.043681726,0.00119614,0.162179616,24,157
0.155295357,0.117762131,0.005142681,0.420670698,28,157
0.190759544,0.126707112,0.008335882,0.456478984,13,171
0.227957999,0.133204836,0.013278048,0.50608127,14,171
0.255342692,0.143259957,0.016226019,0.557642737,20,171
0.251220052,0.139922092,0.018047114,0.544865274,22,171
0.355701002,0.087904401,0.183189499,0.519077485,24,171
0.160227516,0.118996723,0.005740681,0.427336297,28,171
0.436644988,0.141796685,0.200194491,0.761580696,13,173
0.233723297,0.133334301,0.014797944,0.505872438,14,173
0.263986009,0.142766978,0.019279317,0.56433523,20,173
0.254242003,0.140329489,0.017568716,0.552949621,22,173
0.553643047,0.092789072,0.385251643,0.742851853,24,173
0.531854023,0.152294114,0.273394796,0.845250357,28,173
0.185315734,0.125075159,0.007724963,0.449114933,13,201
0.215692514,0.131895253,0.011254959,0.488821664,14,201
0.237580476,0.140834818,0.012780976,0.537018708,20,201
0.247218244,0.140458282,0.016777864,0.54625899,22,201
0.045452023,0.043982205,0.001157809,0.163971517,24,201
0.152623104,0.11658099,0.005209609,0.416198919,28,201
