mean,sdev,low95,up95,brdg,nonbrdg
0.122733713,0.049913746,0.026808615,0.21857736,4,24
0.085766482,0.061828904,0.002948109,0.220470306,5,24
0.100129227,0.057390421,0.005252637,0.210677311,6,24
0.100262874,0.057557445,0.005887316,0.210638658,7,24
0.099892309,0.057475681,0.005329859,0.209292382,8,24
0.099803588,0.057970168,0.005100317,0.211320406,9,24
0.069593005,0.052334444,0.002299887,0.184819138,10,24
0.226340693,0.042123048,0.146306239,0.313592443,11,24
0.100742553,0.057650185,0.005555603,0.210749309,12,24
0.177133128,0.059552086,0.075067347,0.304888596,13,24
0.19501378,0.071557611,0.06634341,0.341587248,14,24
0.096595103,0.057150952,0.005103434,0.20750611,15,24
0.100841902,0.05735018,0.006029705,0.211052063,16,24
0.099960503,0.057868112,0.005488178,0.210962303,22,24
0.131168244,0.051498261,0.031278647,0.229796412,24,24
0.185643279,0.063792811,0.067466656,0.315964673,28,24
0.084707164,0.054100479,0.003812946,0.192023562,4,31
0.08676736,0.062157161,0.003087292,0.22076504,5,31
0.100225788,0.057360628,0.005706844,0.210152986,6,31
0.100035259,0.057407727,0.00533432,0.2096913,7,31
0.0996313,0.05753713,0.005566637,0.210819417,8,31
0.100376354,0.057453359,0.005668606,0.209314308,9,31
0.070758575,0.052557796,0.002508361,0.185551708,10,31
0.147030302,0.047676743,0.06116768,0.240383152,11,31
0.099670188,0.057568663,0.005340084,0.211103847,12,31
0.434873532,0.079325688,0.289077501,0.595454979,13,31
0.349995517,0.089289498,0.204132357,0.548357852,14,31
0.096663441,0.057443369,0.00468303,0.207729145,15,31
0.100149519,0.05753261,0.005732638,0.209787514,16,31
0.10115268,0.05786714,0.005787118,0.212293176,22,31
0.131357975,0.051174307,0.031477455,0.229691982,24,31
0.274765746,0.070568932,0.164925286,0.440537151,28,31
0.083957151,0.054390262,0.003584016,0.191888549,4,33
0.221245897,0.059433305,0.130726449,0.366001948,5,33
0.098876074,0.057253794,0.005649199,0.209629728,6,33
0.09961203,0.057657663,0.005225147,0.210244206,7,33
0.099534079,0.057317912,0.005318357,0.210438223,8,33
0.100208901,0.057880958,0.005393911,0.211816563,9,33
0.180620847,0.045141581,0.100087265,0.28175322,10,33
0.049018309,0.033437893,0.006012443,0.132262426,11,33
0.100026571,0.057404475,0.005752942,0.210297332,12,33
0.022324348,0.022320577,0.000532789,0.082430477,13,33
0.053670113,0.049870114,0.001494251,0.18769156,14,33
0.13163175,0.051390527,0.031521842,0.230453197,15,33
0.098566796,0.057572323,0.005248588,0.209728907,16,33
0.097411427,0.057640604,0.004702891,0.209759681,22,33
0.085078032,0.055904977,0.003463114,0.197452897,24,33
0.055475384,0.049737624,0.001543645,0.184733945,28,33
0.123968811,0.050238206,0.027159388,0.21972461,4,151
0.086522248,0.062084375,0.003117243,0.22079869,5,151
0.09964,0.057494741,0.00507958,0.209850769,6,151
0.100237664,0.057721566,0.005483345,0.211632351,7,151
0.100071288,0.057563071,0.005239045,0.210045531,8,151
0.099212446,0.057466338,0.005377546,0.209813945,9,151
0.142147195,0.050487124,0.044731362,0.242883149,10,151
0.239361537,0.041925819,0.163056725,0.330043852,11,151
0.099920806,0.057492591,0.005680139,0.209832376,12,151
0.1032618,0.049059247,0.028743132,0.216339435,13,151
0.05777487,0.052304856,0.001588272,0.195201138,14,151
0.096666981,0.056802429,0.005058469,0.205812659,15,151
0.100019974,0.057902086,0.005471492,0.212355726,16,151
0.100113132,0.057408344,0.005847109,0.21001726,22,151
0.093627978,0.056921792,0.004817785,0.205690877,24,151
0.061661288,0.053505855,0.001691884,0.195113283,28,151
0.084381162,0.054193404,0.003610807,0.192037017,4,152
0.086517617,0.062271314,0.002919686,0.221049755,5,152
0.099839605,0.057277274,0.005598859,0.209094374,6,152
0.099740453,0.057525997,0.005275183,0.21020841,7,152
0.100144084,0.057693693,0.005524566,0.211232375,8,152
0.100221889,0.057350032,0.005689736,0.210136261,9,152
0.070337591,0.05237093,0.002338753,0.186129915,10,152
0.179746828,0.045831774,0.09062976,0.267171952,11,152
0.099457831,0.057379255,0.005402513,0.209227573,12,152
0.049026363,0.034271069,0.005995466,0.134876733,13,152
0.055732236,0.050845236,0.001536705,0.18967215,14,152
0.095563627,0.056783009,0.004829977,0.204958359,15,152
0.099660916,0.058087584,0.005173193,0.211407652,16,152
0.09911486,0.057944388,0.005150104,0.21020992,22,152
0.089887508,0.056319228,0.003999972,0.200356056,24,152
0.059511772,0.05218409,0.001708527,0.191077521,28,152
0.084274093,0.054240788,0.003657651,0.192224149,4,15
0.086499792,0.062163798,0.003216863,0.221579043,5,15
0.100246037,0.057351695,0.005217988,0.210136331,6,15
0.099761097,0.057416252,0.005243267,0.209615577,7,15
0.099763505,0.057301796,0.00565104,0.209411497,8,15
0.099849153,0.05759441,0.005301171,0.209882486,9,15
0.069994374,0.052402318,0.002498308,0.184279825,10,15
0.026442211,0.026051103,0.000664698,0.096819385,11,15
0.099872752,0.057295245,0.005210659,0.209175816,12,15
0.025735455,0.025483832,0.000619264,0.095410993,13,15
0.056816308,0.051868527,0.001489285,0.194566333,14,15
0.096625952,0.057119212,0.005140397,0.206691647,15,15
0.100190563,0.057408334,0.00585172,0.210279724,16,15
0.099980123,0.057523749,0.005595869,0.211193364,22,15
0.092196715,0.057190053,0.004017435,0.203949186,24,15
0.061744044,0.053483339,0.001784009,0.196190371,28,15
0.123556757,0.050125339,0.027007334,0.219065354,4,20
0.086209649,0.062299031,0.003135565,0.221002192,5,20
0.10021342,0.057245665,0.005917883,0.209736284,6,20
0.100107625,0.057805551,0.005197338,0.210761437,7,20
0.100096878,0.057402875,0.005935148,0.210311754,8,20
0.100071069,0.057847634,0.005540517,0.211201512,9,20
0.069916785,0.052129305,0.002241006,0.184553066,10,20
0.052680076,0.035329297,0.006686957,0.140592648,11,20
0.100398092,0.057738507,0.005551884,0.210732487,12,20
0.026330798,0.025635845,0.000687575,0.094955248,13,20
0.057349378,0.052043966,0.001540807,0.193302142,14,20
0.096017715,0.056696698,0.005033729,0.205231046,15,20
0.100594934,0.057777149,0.005365328,0.211019087,16,20
0.100922961,0.058013625,0.005409069,0.211952531,22,20
0.09365477,0.057237269,0.004715289,0.205341691,24,20
0.061250123,0.053057397,0.001843925,0.19454909,28,20
0.083976186,0.053997951,0.003658699,0.191206327,4,122
0.086597429,0.061959577,0.003221247,0.221034606,5,122
0.100442448,0.057624525,0.005516421,0.210797854,6,122
0.100154636,0.057595082,0.005776269,0.210347484,7,122
0.100122562,0.057394565,0.005656183,0.209095361,8,122
0.100249929,0.057201535,0.005897539,0.20948312,9,122
0.142145487,0.049909256,0.046223192,0.241293848,10,122
0.026472333,0.025961757,0.000670856,0.096346124,11,122
0.100074341,0.057541785,0.005372152,0.209750373,12,122
0.025632383,0.025779944,0.000615844,0.095731821,13,122
0.057638819,0.052245213,0.001508735,0.195297033,14,122
0.096769415,0.056823648,0.005093732,0.205997524,15,122
0.099382986,0.057341981,0.005536921,0.210170599,16,122
0.099779862,0.057688246,0.005233184,0.209824026,22,122
0.092841968,0.056879375,0.004417239,0.204162289,24,122
0.061403132,0.05363296,0.001778469,0.197798705,28,122
0.085173705,0.05441847,0.003902364,0.193530005,4,134
0.086102467,0.062100757,0.003162734,0.222228232,5,134
0.100194553,0.057748009,0.005566893,0.212006422,6,134
0.100285955,0.05752971,0.005644028,0.21028533,7,134
0.100038627,0.057421385,0.005640784,0.210051274,8,134
0.099781713,0.057631771,0.005494924,0.209723759,9,134
0.113974284,0.053456747,0.019860013,0.217807871,10,134
0.025809923,0.025109443,0.000697891,0.092540565,11,134
0.100292803,0.057781699,0.005475712,0.211105808,12,134
0.025896065,0.025702844,0.000642059,0.09506689,13,134
0.056840464,0.051595363,0.001547325,0.193571394,14,134
0.096068256,0.056733769,0.005444208,0.206490122,15,134
0.100236429,0.057554001,0.005603866,0.210421154,16,134
0.099550337,0.057742254,0.005409647,0.211506823,22,134
0.092900576,0.056945027,0.004389787,0.203327015,24,134
0.061600762,0.053242005,0.00163626,0.195742652,28,134
0.123271257,0.049967492,0.027947214,0.218321208,4,162
0.087771058,0.062341896,0.003353346,0.221969526,5,162
0.100192848,0.057424189,0.005777518,0.209243746,6,162
0.099802408,0.057631141,0.005481735,0.210384557,7,162
0.100705366,0.05786237,0.005578789,0.211788884,8,162
0.100224958,0.057728001,0.005561343,0.210496351,9,162
0.070511858,0.052697465,0.002428525,0.18662384,10,162
0.027097787,0.026443988,0.000665681,0.09864987,11,162
0.099544064,0.057453157,0.005220241,0.209794252,12,162
0.109786129,0.052111795,0.030369958,0.230800429,13,162
0.059168516,0.053274093,0.001622337,0.197397013,14,162
0.097397759,0.057066568,0.005023886,0.207145269,15,162
0.100355982,0.057678701,0.005676129,0.210158717,16,162
0.102014115,0.057992009,0.005745045,0.212458697,22,162
0.097286233,0.057245848,0.005073699,0.207160121,24,162
0.116944469,0.063847165,0.017623173,0.253959784,28,162
