Group,Br_MCR,NB_MCR,Exposure,Low80CI.WeightMean,Up80CI.WeightMean,Low95CI.WeightMean,Up95CI.WeightMean
3_5,3,5,0.12127169,0.091371087,0.152192583,0.074618697,0.169723333
3_9,3,9,0.05638711,0.044961878,0.067610717,0.039644121,0.074195829
3_10,3,10,0.069584443,0.051369695,0.088276486,0.040955191,0.097614271
3_11,3,11,0.070356679,0.051034032,0.089793333,0.040950979,0.09983615
3_13,3,13,0.085366206,0.070024349,0.100248223,0.062313481,0.108267949
3_14,3,14,0.127987312,0.103623602,0.152531267,0.090761842,0.167465298
3_15,3,15,0.10035787,0.082201546,0.119249554,0.072062651,0.129038705
3_16,3,16,0.074802527,0.055196557,0.09353257,0.045945707,0.10326837
3_18,3,18,0.06518544,0.051435329,0.079038342,0.04419719,0.087129988
3_20,3,20,0.098022264,0.082134119,0.114246079,0.07393043,0.122771994
3_22,3,22,0.043578814,0.03262551,0.054419974,0.026260088,0.060094159
3_24,3,24,0.10692117,0.085415248,0.129037517,0.07385886,0.13996814
3_28,3,28,0.084344827,0.069183985,0.099116652,0.061178434,0.107328647
3_31,3,31,0.074085079,0.055271253,0.092693239,0.045905027,0.102563029
3_33,3,33,0.061959812,0.049259308,0.074258576,0.043051866,0.081536168
3_122,3,122,0.110987933,0.051477983,0.168828709,0.020145295,0.19888542
3_134,3,134,0.099944858,0.055406859,0.143553291,0.03379737,0.166686469
3_143,3,143,0.076129306,0.046859755,0.10481034,0.030959326,0.121362266
3_162,3,162,0.067287609,0.030470592,0.104173999,0.011662202,0.123653823
3_171,3,171,0.070481252,0.026039955,0.115428877,0.00203005,0.140279746
3_173,3,173,0.133486473,NA,NA,NA,NA
3_201,3,201,0.123674887,0.06507235,0.184999572,0.03144237,0.216548464
3_202,3,202,0.134231854,NA,NA,NA,NA
3_203,3,203,0.135663239,NA,NA,NA,NA
3_204,3,204,0.134980675,NA,NA,NA,NA
3_211,3,211,0.134364057,NA,NA,NA,NA
3_212,3,212,0.121113479,NA,NA,NA,NA
3_213,3,213,0.087504893,NA,NA,NA,NA
3_214,3,214,0.087812378,NA,NA,NA,NA
3_221,3,221,0.087776644,NA,NA,NA,NA
3_222,3,222,0.088694276,NA,NA,NA,NA
3_231,3,231,0.087857117,NA,NA,NA,NA
3_232,3,232,0.087993291,NA,NA,NA,NA
4_5,4,5,0.145832045,0.123385533,0.168434933,0.110939109,0.179822986
4_9,4,9,0.074260842,0.063777246,0.084738307,0.058243856,0.089905495
4_10,4,10,0.060304652,0.046504944,0.073881297,0.039072805,0.080865488
4_11,4,11,0.07251574,0.054911752,0.090279525,0.046431623,0.09966002
4_13,4,13,0.037161605,0.028723423,0.045924453,0.023551566,0.050650171
4_14,4,14,0.074606529,0.062742553,0.086697381,0.055885167,0.093750705
4_15,4,15,0.126642454,0.101324284,0.15293612,0.086826983,0.167562526
4_16,4,16,0.070528013,0.054179789,0.086748803,0.046026931,0.095980491
4_18,4,18,0.072259867,0.061204099,0.083575402,0.054863964,0.089008127
4_20,4,20,0.074175309,0.064348818,0.084252641,0.058927784,0.089294028
4_22,4,22,0.044512898,0.034272105,0.054973457,0.028967047,0.060247263
4_24,4,24,0.048520065,0.040977662,0.055763103,0.037357947,0.059801449
