Group,Br_MCR,NB_MCR,Exposure,Vulnerability,Hazard,Norm_Exposure,Norm_Vulnerability,Norm_Hazard,Risk,Norm_Risk
3_5,3,5,0.12127169,9.782608696,0.856442917,36.76627476,37.42140468,44.53948395,61279.45508,0.128640923
3_9,3,9,0.05638711,8.75,1.018894533,14.745543,29.55769231,61.49496292,26802.22432,0.056130659
3_10,3,10,0.069584443,8.1,1.006840509,19.22449517,24.60769231,60.23685443,28496.27655,0.05969348
3_11,3,11,0.070356679,7.75,1.109343742,19.48657898,21.94230769,70.93537165,30330.58252,0.063551272
3_13,3,13,0.085366206,9.166666667,1.1351766,24.58055943,32.73076923,73.63161125,59239.62204,0.124350879
3_14,3,14,0.127987312,9.84,1.287666669,39.04544355,37.85846154,89.54737864,132368.973,0.27815176
3_15,3,15,0.10035787,9.115384615,1.023936151,29.66847712,32.34023669,62.02116913,59508.41696,0.124916191
3_16,3,16,0.074802527,8.111111111,1.146114456,20.99542481,24.69230769,74.77322242,38764.34443,0.08128861
3_18,3,18,0.06518544,8.157894737,1.14567677,17.73154768,25.048583,74.72754001,33190.24764,0.069565533
3_20,3,20,0.098022264,8.619047619,1.170133128,28.87581172,28.56043956,77.28011087,63733.36149,0.133801819
3_22,3,22,0.043578814,8.3125,1.108678018,10.3986236,26.22596154,70.86588836,19326.11297,0.04040739
3_24,3,24,0.10692117,9.076923077,1.270401213,31.89595033,32.04733728,87.74534016,89691.55619,0.188395401
3_28,3,28,0.084344827,9.210526316,1.299437943,24.23392041,33.06477733,90.77597582,72737.80741,0.152739382
3_31,3,31,0.074085079,9.111111111,1.100214082,20.75193509,32.30769231,69.98248628,46919.55733,0.098440122
3_33,3,33,0.061959812,8.947368421,1.033894219,16.63682423,31.06072874,63.06051739,32586.64121,0.068296068
3_122,3,122,0.110987933,9.5,1.026026516,33.27614118,35.26923077,62.23934562,73045.58369,0.153386677
3_134,3,134,0.099944858,9,0.971189351,29.52830801,31.46153846,56.51585444,52503.56776,0.110184049
3_143,3,143,0.076129306,9.5,1.038191988,21.44571125,35.26923077,63.50908622,48036.605,0.100789424
3_162,3,162,0.067287609,9,0.993270135,18.4449886,31.46153846,58.82048077,34133.97898,0.071550328
3_171,3,171,0.070481252,9,1.001911227,19.52885697,31.46153846,59.72237302,36693.89687,0.07693418
3_173,3,173,0.133486473,11,0.993852969,40.91176616,46.69230769,58.8813126,112478.8973,0.23632025
