Group,Br_MCR,NB_MCR,Species_code,Common_name
3_5,3,5,amerob,American Robin
3_5,3,5,amewig,American Wigeon
3_5,3,5,baleag,Bald Eagle
3_5,3,5,blksco2,Black Scoter
3_5,3,5,brant,Brant
3_5,3,5,buffle,Bufflehead
3_5,3,5,cacgoo1,Cackling Goose
3_5,3,5,comgol,Common Goldeneye
3_5,3,5,comloo,Common Loon
3_5,3,5,commer,Common Merganser
3_5,3,5,gocspa,Golden-crowned Sparrow
3_5,3,5,gresca,Greater Scaup
3_5,3,5,gnwtea,Green-winged Teal
3_5,3,5,harduc,Harlequin Duck
3_5,3,5,lessca,Lesser Scaup
3_5,3,5,lotduc,Long-tailed Duck
3_5,3,5,mallar3,Mallard
3_5,3,5,merlin,Merlin
3_5,3,5,norpin,Northern Pintail
3_5,3,5,rinduc,Ring-necked Duck
3_5,3,5,sursco,Surf Scoter
3_5,3,5,tunswa,Tundra Swan
3_5,3,5,whwsco2,White-winged Scoter
3_9,3,9,amerob,American Robin
3_9,3,9,amewig,American Wigeon
3_9,3,9,baleag,Bald Eagle
3_9,3,9,buffle,Bufflehead
3_9,3,9,cangoo,Canada Goose
3_9,3,9,canvas,Canvasback
3_9,3,9,comgol,Common Goldeneye
3_9,3,9,commer,Common Merganser
3_9,3,9,gocspa,Golden-crowned Sparrow
3_9,3,9,gresca,Greater Scaup
3_9,3,9,gnwtea,Green-winged Teal
3_9,3,9,lessca,Lesser Scaup
3_9,3,9,mallar3,Mallard
3_9,3,9,merlin,Merlin
3_9,3,9,norhar2,Northern Harrier
3_9,3,9,norpin,Northern Pintail
3_9,3,9,norsho,Northern Shoveler
3_9,3,9,rinduc,Ring-necked Duck
3_9,3,9,tunswa,Tundra Swan
3_9,3,9,whcspa,White-crowned Sparrow
3_10,3,10,amerob,American Robin
3_10,3,10,amewig,American Wigeon
3_10,3,10,baleag,Bald Eagle
3_10,3,10,buffle,Bufflehead
3_10,3,10,cangoo,Canada Goose
3_10,3,10,comgol,Common Goldeneye
3_10,3,10,commer,Common Merganser
3_10,3,10,mallar3,Mallard
3_10,3,10,norhar2,Northern Harrier
3_10,3,10,rinduc,Ring-necked Duck
3_11,3,11,amerob,American Robin
3_11,3,11,baleag,Bald Eagle
3_11,3,11,cangoo,Canada Goose
3_11,3,11,comgol,Common Goldeneye
3_11,3,11,commer,Common Merganser
3_11,3,11,mallar3,Mallard
3_11,3,11,merlin,Merlin
3_11,3,11,norhar2,Northern Harrier
3_13,3,13,ambduc,American Black Duck
3_13,3,13,amerob,American Robin
3_13,3,13,baleag,Bald Eagle
3_13,3,13,buffle,Bufflehead
3_13,3,13,cangoo,Canada Goose
3_13,3,13,canvas,Canvasback
3_13,3,13,comgol,Common Goldeneye
3_13,3,13,comloo,Common Loon
3_13,3,13,commer,Common Merganser
3_13,3,13,gresca,Greater Scaup
3_13,3,13,hergul,Herring Gull
3_13,3,13,lessca,Lesser Scaup
3_13,3,13,lotduc,Long-tailed Duck
3_13,3,13,mallar3,Mallard
3_13,3,13,merlin,Merlin
