unique.species,Group,Br_MCR,NB_MCR,common,ccs.max
bkpwar,3_204,3,204,Blackpoll Warbler,11
bkpwar,14_201,14,201,Blackpoll Warbler,11
bkpwar,12_201,12,201,Blackpoll Warbler,11
bkpwar,4_171,4,171,Blackpoll Warbler,11
bkpwar,14_204,14,204,Blackpoll Warbler,11
bkpwar,6_201,6,201,Blackpoll Warbler,11
bkpwar,13_203,13,203,Blackpoll Warbler,11
bkpwar,6_211,6,211,Blackpoll Warbler,11
bkpwar,13_204,13,204,Blackpoll Warbler,11
bkpwar,3_211,3,211,Blackpoll Warbler,11
bkpwar,12_171,12,171,Blackpoll Warbler,11
bkpwar,12_203,12,203,Blackpoll Warbler,11
bkpwar,6_171,6,171,Blackpoll Warbler,11
bkpwar,12_204,12,204,Blackpoll Warbler,11
bkpwar,4_201,4,201,Blackpoll Warbler,11
bkpwar,7_211,7,211,Blackpoll Warbler,11
bkpwar,7_204,7,204,Blackpoll Warbler,11
bkpwar,8_203,8,203,Blackpoll Warbler,11
bkpwar,14_203,14,203,Blackpoll Warbler,11
bkpwar,8_202,8,202,Blackpoll Warbler,11
bkpwar,8_201,8,201,Blackpoll Warbler,11
bkpwar,3_173,3,173,Blackpoll Warbler,11
bkpwar,14_171,14,171,Blackpoll Warbler,11
bkpwar,3_202,3,202,Blackpoll Warbler,11
bkpwar,3_201,3,201,Blackpoll Warbler,11
bkpwar,4_203,4,203,Blackpoll Warbler,11
bkpwar,14_173,14,173,Blackpoll Warbler,11
bkpwar,7_171,7,171,Blackpoll Warbler,11
bkpwar,6_173,6,173,Blackpoll Warbler,11
bkpwar,3_171,3,171,Blackpoll Warbler,11
bkpwar,8_173,8,173,Blackpoll Warbler,11
bkpwar,6_203,6,203,Blackpoll Warbler,11
bkpwar,13_171,13,171,Blackpoll Warbler,11
bkpwar,14_211,14,211,Blackpoll Warbler,11
bkpwar,8_211,8,211,Blackpoll Warbler,11
bkpwar,3_203,3,203,Blackpoll Warbler,11
bkpwar,12_173,12,173,Blackpoll Warbler,11
bkpwar,7_203,7,203,Blackpoll Warbler,11
bkpwar,13_211,13,211,Blackpoll Warbler,11
bkpwar,4_173,4,173,Blackpoll Warbler,11
bkpwar,8_171,8,171,Blackpoll Warbler,11
bkpwar,4_204,4,204,Blackpoll Warbler,11
bkpwar,6_202,6,202,Blackpoll Warbler,11
bkpwar,13_202,13,202,Blackpoll Warbler,11
bkpwar,7_173,7,173,Blackpoll Warbler,11
bkpwar,13_173,13,173,Blackpoll Warbler,11
bkpwar,12_202,12,202,Blackpoll Warbler,11
bkpwar,12_211,12,211,Blackpoll Warbler,11
bkpwar,7_202,7,202,Blackpoll Warbler,11
bkpwar,7_201,7,201,Blackpoll Warbler,11
bkpwar,14_202,14,202,Blackpoll Warbler,11
bkpwar,4_211,4,211,Blackpoll Warbler,11
bkpwar,4_202,4,202,Blackpoll Warbler,11
bkpwar,13_201,13,201,Blackpoll Warbler,11
bkpwar,6_204,6,204,Blackpoll Warbler,11
bkpwar,8_204,8,204,Blackpoll Warbler,11
graspa,11_31,11,31,Grasshopper Sparrow,12
graspa,13_134,13,134,Grasshopper Sparrow,12
graspa,24_31,24,31,Grasshopper Sparrow,12
graspa,28_33,28,33,Grasshopper Sparrow,12
graspa,13_33,13,33,Grasshopper Sparrow,12
graspa,24_134,24,134,Grasshopper Sparrow,12
graspa,22_144,22,144,Grasshopper Sparrow,12
graspa,24_143,24,143,Grasshopper Sparrow,12
graspa,18_143,18,143,Grasshopper Sparrow,12
